image,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,real_width_mm,real_depth_mm,bev_w,bev_h
20260530_231106_jpg.rf.50fe991d798a9c96f40477448e85e7ec.jpg,432,25,2619,-7,6022,2873,-1765,2857,4160,5000,600,721
20260618_224133_jpg.rf.66a4712bc9e960ad5ee9c10a98a2eb2d.jpg,1618,6,5002,16,9043,3987,-2084,3997,4160,5000,600,721
20260618_224144_jpg.rf.c5704d34256d9a3515eeb9d026a6ad20.jpg,1419,16,4793,6,8446,3997,-2562,3947,4160,5000,600,721
20260618_224155_jpg.rf.436b4f3dad52805098f3fa0519eec674.jpg,1399,6,4883,6,8934,3977,-2472,3977,4160,5000,600,721
20260618_224232_jpg.rf.3155674983c15737ee1975df1b73dede.jpg,1320,6,4952,16,9083,3937,-2353,3977,4160,5000,600,721
20260618_224343_jpg.rf.23f67aaa04432f298924e6eeef623278.jpg,1270,16,4813,-4,8157,3957,-3010,3997,4160,5000,600,721
20260618_224442_jpg.rf.5fafd5d33accf31f6f0f65a2134e1409.jpg,1290,16,5171,16,8197,3917,-2910,3947,4160,5000,600,721
20260618_224445_jpg.rf.ae42e78a8cba4ab507c2411f18a94461.jpg,1310,16,5142,16,8486,3997,-2910,3957,4160,5000,600,721
20260618_224500_jpg.rf.0bd4c15cbb9e3e7ec356ad210d653fcf.jpg,1041,26,4674,6,8207,3947,-2960,3997,4160,5000,600,721
20260618_224559_jpg.rf.9e452c5820009fefac8ae727f303029a.jpg,1429,-4,4972,16,8685,3977,-2930,3947,4160,5000,600,721
20260618_224637_jpg.rf.09fd0a5cb89457e1b372c4e1f4056be4.jpg,1190,6,4843,6,8964,3937,-2682,3947,4160,5000,600,721
20260618_224755_jpg.rf.3df489378e7799e908197708e94b22ab.jpg,921,36,4813,16,8884,3987,-2960,3957,4160,5000,600,721
20260618_224802_jpg.rf.3990f23b747e8ba0e1c67f2d85b29a8d.jpg,1061,36,4405,6,8187,3977,-2960,3987,4160,5000,600,721
20260618_224820_jpg.rf.59f22c3faf09780e89cf54e0af2da9af.jpg,1220,66,4883,6,8964,3927,-2950,3987,4160,5000,600,721
20260618_225100_jpg.rf.618cafff9e7c761e4c3a5abb560a65cd.jpg,1449,26,5142,26,9043,3977,-2791,3947,4870,5000,600,616
20260618_225111_jpg.rf.8af171692a33feeaa0581c8aada9370f.jpg,1260,16,4962,16,9023,3957,-3040,3977,4870,5000,600,616
20260618_225202_jpg.rf.0ac78a8681acd76352c062c0c57708ff.jpg,1698,26,5281,16,9003,3887,-3080,3917,4870,5000,600,616
IMG_20260622_231126_jpg.rf.2ef1f3b80d19e392479f7b035e07f79e.jpg,676,3,2660,3,4948,3470,-2556,3454,3100,5000,600,747
IMG_20260622_231139_jpg.rf.2a0a59387ffe1a49b266b64d5cb2420d.jpg,569,3,2698,-5,4576,3447,-2728,3484,3100,5000,600,747
IMG_20260623_202548_jpg.rf.ca0c4a3382b9243c1eb5e14fd6cee796.jpg,712,8,2830,24,4952,3485,-1922,3485,3100,5000,600,747
IMG_20260623_202612_jpg.rf.d0393f284792fb372bfee53a8bd0e69a.jpg,786,8,2983,8,5234,3506,-1902,3474,3100,5000,600,747
IMG_20260623_202615_jpg.rf.1ea6830576fab41055375a3efca47ba7.jpg,552,-7,3034,-26,5305,3496,-2115,3443,3100,5000,600,747
IMG_20260623_202623_jpg.rf.1163c8993195606a95eff1407bcc8f35.jpg,628,12,2986,12,5288,3460,-2507,3422,3100,5000,600,747
IMG_20260623_202643_jpg.rf.7f6bd61240cfdc729cb87c05e0d38617.jpg,438,31,2456,31,6027,3413,-2166,3488,3100,5000,600,747
IMG_20260623_202655_jpg.rf.3c960c0a4c541d94fbc272d8a94bcf6d.jpg,637,41,3195,41,4938,3469,-1759,3460,3100,5000,600,747
IMG_20260623_202718_jpg.rf.144d67f0c0fe0dcd82c89bf9bdc9fcb7.jpg,685,12,2967,41,5099,3413,-2024,3431,3100,5000,600,747
IMG_20260623_202721_jpg.rf.aa818f23ec435a97cbea9ba15d735c90.jpg,637,-7,2901,-7,5193,3431,-1930,3469,3100,5000,600,747
IMG_20260623_203133_jpg.rf.d5da938cca9b4cfd79444aa11ac7ec3e.jpg,808,12,2854,12,5705,3431,-1466,3422,3100,5000,600,747
IMG_20260623_203138_jpg.rf.cb41799078f5f3977a7364c387774bb9.jpg,808,41,2787,12,5591,3431,-1503,3479,3100,5000,600,747
IMG_20260623_203151_jpg.rf.8392bbe6ea90a172d9c5513504c69329.jpg,902,31,2835,31,5297,3469,-1428,3479,3100,5000,600,747
